2020-09-05 16:30:42 INFO  WeatherTest 42 - Environment is: stage
2020-09-05 16:32:52 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (e2cb87726eaa62662010ca718a59c666)] -> id: h_sub_menu]
2020-09-05 16:32:54 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (e2cb87726eaa62662010ca718a59c666)] -> xpath: //a[text()='WEATHER']]
2020-09-05 16:33:12 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (e2cb87726eaa62662010ca718a59c666)] -> id: searchBox]
2020-09-05 16:33:13 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (e2cb87726eaa62662010ca718a59c666)] -> id: searchBox]
2020-09-05 16:33:19 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (e2cb87726eaa62662010ca718a59c666)] -> xpath: //span[@class='heading']//b[contains(text(),'Degrees')]]
2020-09-05 16:33:19 INFO  APIWeatherTest 32 - Test running on browser: API
2020-09-05 16:33:19 INFO  CommonUtility 29 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/config.properties
2020-09-05 16:33:19 INFO  CommonUtility 36 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/log4j.properties
2020-09-05 16:41:25 INFO  BrowserUtility 22 - Launching Browser: chrome
2020-09-05 16:42:26 INFO  WeatherTest 41 - Automation running on: API
2020-09-05 16:42:26 INFO  WeatherTest 42 - Environment is: stage
2020-09-05 16:44:46 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (3c7c9eb489033211f50078fdff730037)] -> id: h_sub_menu]
2020-09-05 16:44:47 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (3c7c9eb489033211f50078fdff730037)] -> xpath: //a[text()='WEATHER']]
2020-09-05 16:44:57 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (3c7c9eb489033211f50078fdff730037)] -> id: searchBox]
2020-09-05 16:44:58 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (3c7c9eb489033211f50078fdff730037)] -> id: searchBox]
